,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,rating
5266,US,"A severe edge of dried herb and savoriness in this single-vineyard Cab evolves into juicy black currant and cassis midway through. The tannins remain tightly wound and thick on the palate, before the wine finishes dry and concentrated.",Montecillo Vineyard,86,48.0,California,Sonoma Valley,Sonoma,Virginie Boone,@vboone,Keating 2011 Montecillo Vineyard Cabernet Sauvignon (Sonoma Valley),Cabernet Sauvignon,Keating,Low
5267,US,"Abundant fresh floral aromas such as violet and lilac show on the nose of this bottling, with black plum and candied grape notes. The palate is straightforward, all tangy plum flavors, enhanced by dried herb, soy and reductive tar notes.",,87,25.0,California,Santa Barbara County,Central Coast,Matt Kettmann,@mattkettmann,Rancho Sisquoc 2014 Syrah (Santa Barbara County),Syrah,Rancho Sisquoc,Low
5268,France,"This wine is all crisp cherries and lively acidity. Only the lightest edge of tannin gives the wine some structure, followed by more fruit all the way. Drink now.",,84,12.0,Beaujolais,Beaujolais,,Roger Voss,@vossroger,Château de Pizay 2014  Beaujolais,Gamay,Château de Pizay,Low
5269,US,"Slightly confected scents lead into sweetly spicy fruit, leaning to purple fruits with fig and prune highlights. The acidity is spot on, and the tannins are ripe and firm. The blend includes 10% Malbec.",,87,14.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Powers 2007 Syrah (Columbia Valley (WA)),Syrah,Powers,Low
5270,US,"Aromas of wilted white flowers and ground herbs are followed by off-dry drinking fruit flavors, with peanut shell notes on the finish.",Estate,82,35.0,Washington,Lake Chelan,Columbia Valley,Sean P. Sullivan,@wawinereport,Mellisoni 2016 Estate Pinot Grigio (Lake Chelan),Pinot Grigio,Mellisoni,Low
5271,France,"Meaty aromas lead on the nose of this wine, with additional supporting notes of red cherry, black pepper and curing spice. It's easy on the palate, with medium yet fleeting tannins and balanced alcohol. The finish is fully loaded with spice, ending quite peppery.",Roc Gris,87,23.0,Languedoc-Roussillon,Côtes du Roussillon Villages,,Lauren Buzzeo,@laurbuzz,Les Vignerons de Tautavel Vingrau 2010 Roc Gris Red (Côtes du Roussillon Villages),Rhône-style Red Blend,Les Vignerons de Tautavel Vingrau,Low
5272,Portugal,"On the basis that anything goes in Setúbal, here is another grape from Bordeaux in a new setting. The wine certainly has the dark color of the grape and dark black-plum fruits. It is full and rich, but the finish has a lingering astringency.",Reserva,85,,Península de Setúbal,,,Roger Voss,@vossroger,Casa Ermelinda Freitas 2013 Reserva Petit Verdot (Península de Setúbal),Petit Verdot,Casa Ermelinda Freitas,Low
5273,Australia,"This ripe, wooded Chardonnay fits most consumers' expectations, delivering hints of smoke, peach and citrus fruit in a rounded, lush format. Fine for summertime sipping.",Reserve,86,,Australia Other,South Eastern Australia,,Joe Czerwinski,@JoeCz,Gumdale 2010 Reserve Chardonnay (South Eastern Australia),Chardonnay,Gumdale,Low
5274,Argentina,"Bright but spotty on the nose, with salinic red fruit aromas that are one part raspberry and one part pool water. The palate is in the narrow, tannic field but the flavors are good, with blackberry, bitter chocolate and generic darkness working the the palate and finish.",,86,16.0,Other,Neuquén,,Michael Schachner,@wineschach,Grittini 2006 Malbec (Neuquén),Malbec,Grittini,Low
5275,US,"There's a cider-like tone to this spry semisweet wine. Bruised apple and pear flavors balance savory and sweet against a backdrop of zesty lemon. It's a rustic, yet refreshing, Riesling for everyday enjoyment.",Semi Sweet,85,18.0,New York,Seneca Lake,Finger Lakes,Anna Lee C. Iijima,,Ventosa 2013 Semi Sweet Riesling (Seneca Lake),Riesling,Ventosa,Low
5276,Germany,"A blossomy, perfumed edge lends lift and vibe to earthier notes of pressed apple and pear in this light-footed medium-sweet Riesling. It's racy and sharp in mouthfeel with a finish that's brisk and bright.",Oppenheimer Sachträger Spätlese,87,16.0,Rheinhessen,,,Anna Lee C. Iijima,,Dr. Heyden 2014 Oppenheimer Sachträger Spätlese Riesling (Rheinhessen),Riesling,Dr. Heyden,Low
5277,Spain,"Oily, stalky, bready aromas are a bit tired. This has a chunky feel offset by citric acidity. Briny, salty flavors of citrus fruits and lees are lasting. For varietal Tempranillo Blanco, this isn't bad.",Colección Monovarietales,86,12.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Nivarius 2014 Colección Monovarietales Tempranillo Blanco (Rioja),Tempranillo Blanco,Nivarius,Low
5278,Australia,"Exotic to the point that one wonders whether other varieties have been blended in, with spicy hints of cardamom, cinnamon and clove, followed by ripe melon flavors. At least this is not a bland, neutral effort, although it may have a touch of residual sugar. Drink now.",,84,8.0,Australia Other,South Eastern Australia,,Joe Czerwinski,@JoeCz,Black Swan 2009 Pinot Grigio (South Eastern Australia),Pinot Grigio,Black Swan,Low
5279,US,"Sharp pine needle and tart berry scents dominate the nose. Low alcohol and pungent flavors emphasize the acidity, leaving a puckery mouthfeel with little impression of fruit. Best with mild cheeses and salted nuts.",Estate Cuvée Rosé of,86,22.0,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Sokol Blosser 2016 Estate Cuvée Rosé of Pinot Noir (Dundee Hills),Pinot Noir,Sokol Blosser,Low
5280,France,"Smoky wood aromas are confirmed on the palate by a tough, wood-laden character. It's all spice and toast, leaving little room at this stage for fruit. That should come because the wine has weight and suggestions of rich berry fruits in the background.",,85,20.0,Bordeaux,Médoc,,Roger Voss,@vossroger,Château Fleur la Mothe 2011  Médoc,Bordeaux-style Red Blend,Château Fleur la Mothe,Low
5281,US,"A little sharp and simple, but for the price, this everyday Cab gets the job done. It's dry and tannic, with good blackberry fruit.",,84,11.0,California,California,California Other,,,Bogle 2010 Cabernet Sauvignon (California),Cabernet Sauvignon,Bogle,Low
5282,Italy,"Here is a playful Riesling with a nice balance between sweet fruit and drying mineral tones that give the wine dimension and intensity. Aromas include stone fruit, white flower and natural rubber.",Riesling,85,22.0,Northeastern Italy,Colli Orientali del Friuli,,,,Aquila del Torre 2006 Riesling Riesling (Colli Orientali del Friuli),Riesling,Aquila del Torre,Low
5283,New Zealand,"This medium-bodied Pinot features slightly dry tannins, but otherwise delivers attractive aromas and flavors of dark cherries and button mushrooms, joined by hints of earth and spice. Drink now.",,85,20.0,Marlborough,,,Joe Czerwinski,@JoeCz,Fusional 2011 Pinot Noir (Marlborough),Pinot Noir,Fusional,Low
5284,US,"Soft and a little warm in alcohol, this blend has rich flavors of red berries, red currants, smoked meat and exotic spices. It's an easy wine to drink with barbecue.",Twisted Spur,87,30.0,California,Paso Robles,Central Coast,,,Niner 2009 Twisted Spur Red (Paso Robles),Red Blend,Niner,Low
5285,Canada,"Spicy, floral and with a touch of minerality, this is poised and layered. It's dense and honeyed on the palate but overall, has a balanced, attractive character. Imported by Bayfield Importing, Ltd.",Icewine,85,50.0,Ontario,Niagara Peninsula,,Susan Kostrzewa,@suskostrzewa,Henry of Pelham 2004 Icewine Riesling (Niagara Peninsula),Riesling,Henry of Pelham,Low
5286,Italy,"Aromas of underbrush, sawdust, toast and espresso lead the nose. The palate offers raw red berry, licorice and oak alongside bracing tannins that leave an astringent finish.",Bric Micca,87,60.0,Piedmont,Barbaresco,,Kerin O’Keefe,@kerinokeefe,Dante Rivetti 2012 Bric Micca  (Barbaresco),Nebbiolo,Dante Rivetti,Low
5287,Argentina,"Smells murky, leafy and of compost. The palate is lean, dry and slightly rough, with green herb, tomato and light raspberry and strawberry flavors. Finishes herbal and tea-like, with more earthiness than clarity.",Reserve,83,19.0,Mendoza Province,Uco Valley,,Michael Schachner,@wineschach,Salentein 2008 Reserve Pinot Noir (Uco Valley),Pinot Noir,Salentein,Low
5288,US,"Stemmy and woody, this soft, bright and feral wine is revelatory of its site, where coolness reigns. The taste suggests the hulls of fresh strawberries, while the color, structure and body remain elusively light.",,86,27.0,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,The Forager 2013 Pinot Noir (Sonoma Coast),Pinot Noir,The Forager,Low
5289,US,"Made from Syrah, Grenache, Mourvèdre and Counoise grapes grown at the producer's 95-acre estate, this is a dry, simple wine with tart yet ripe strawberry and peach notes.",Enjoué Estate Grown,86,28.0,California,Sonoma Valley,Sonoma,Virginie Boone,@vboone,Lasseter 2016 Enjoué Estate Grown Rosé (Sonoma Valley),Rosé,Lasseter,Low
5290,US,"This is a good wine, but it's not on a par with previous vintages, which probably was the result of the unusually cool summer. The wine tastes simple, with delicious but one-dimensional licorice, sweet, softened cola and blackberry jam flavors.",Ballard Canyon Estate Reserve,86,36.0,California,Santa Barbara County,Central Coast,,,Rusack 2011 Ballard Canyon Estate Reserve Syrah (Santa Barbara County),Syrah,Rusack,Low
5291,Spain,"Every wine from this house has exotic aromas and flavors that aren't matched elsewhere, which isn't to say that Valdelana's wines offer fool-proof likability. This wine smells funky and tastes of tobacco, butter and cumin. Lean on the finish, but interesting for its unique character, aromas and flavors.",Reserva,86,23.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Valdelana 2004 Reserva  (Rioja),Tempranillo Blend,Valdelana,Low
5292,Portugal,"This is a featherlight red, full of berries and bright acidity, but with a texture that just coats the palate. This is one of those rare reds that works as an apéritif, fresh, clean and fruity. Screwcap.",Coreto Tinto,84,7.0,Estremadura,,,Roger Voss,@vossroger,DFJ Vinhos 2007 Coreto Tinto Red (Estremadura),Portuguese Red,DFJ Vinhos,Low
5293,Italy,"Le Mie Donne has a complex nose of smoked meat, musky fruit and earthiness. Although they carry through to the palate, they come in a less intense form, and the finish is short to medium. Could have used a little more concentration, but a pleasant complex wine.",Le Mie Donne,87,24.0,Piedmont,Barbera d'Alba,,,,Cascina Adelaide 2004 Le Mie Donne  (Barbera d'Alba),Barbera,Cascina Adelaide,Low
5294,Italy,"Dense and extracted, this opens with aromas of cherry marinated in spirits, prune, ground black pepper and leather. The syrupy palate offers blackberry extract, licorice, espresso and toasted oak alongside teeth-coating tannins and almost searing alcohol.",Villa,87,80.0,Veneto,Amarone della Valpolicella Classico,,Kerin O’Keefe,@kerinokeefe,Domìni Veneti 2008 Villa  (Amarone della Valpolicella Classico),Red Blend,Domìni Veneti,Low
5295,Mexico,"Lafarga's wines are expensive and shoot high, but they are awfully rustic in general. This Syrah is earthy and rubbery on the nose, then hard as rocks on the palate due to clamp-down tannins. Flavors of dark fruits, plastic and oak finish with heat.",Equinoccio,83,35.0,Valle de Guadalupe,,,Michael Schachner,@wineschach,Lafarga 2008 Equinoccio Syrah (Valle de Guadalupe),Syrah,Lafarga,Low
5296,Argentina,"Gaseous and rubbery, with leafy compost aromas. Flat, chunky and murky in the mouth, with soft, muddled fruit flavors and a finish of syrup and leftover sweetness. Comes up short on character, quality and clarity.",,82,10.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Barking Sheep 2009 Malbec (Mendoza),Malbec,Barking Sheep,Low
5297,Austria,"Slight notes of green beans mix with faint cherry fruit on this light, easy-drinking red. In summer, it can be chilled and would work well as a picnic red. The Zweigelt spice adds more interest.",,86,15.0,Niederösterreich,,,Anne Krebiehl MW,@AnneInVino,Pratsch 2013 Zweigelt (Niederösterreich),Zweigelt,Pratsch,Low
5298,France,"Light aromas of red cherry and raspberry can be discovered upon deep nosing, but the fresh garrigue, tree bark and raw cocoa nib notes steal the show. A hint of vanilla-strawberry sweetens up the close. Drink now.",Unfiltered,85,11.0,Languedoc-Roussillon,Pays d'Oc,,Lauren Buzzeo,@laurbuzz,La Forge Estate 2010 Unfiltered Pinot Noir (Pays d'Oc),Pinot Noir,La Forge Estate,Low
5299,Portugal,"This is big and juicy, with extra weight imparted by the wood aging. Its flavors of spice and red fruit are laced with acidity. Full bodied and forward, this is quite drinkable.",Periquita Reserva,87,16.0,Setubal,,,Roger Voss,@vossroger,José Maria da Fonseca 2009 Periquita Reserva Red (Setubal),Portuguese Red,José Maria da Fonseca,Low
5300,Spain,"Aromas are mulchy and lacking in freshness. This is mostly flat and lifeless, with candied as well as bitter cherry and red-apple-skin flavors. Residual sugar combined with bitterness push the finish on this marginal rosé of Cabernet Sauvignon.",,83,14.0,Northern Spain,Somontano,,Michael Schachner,@wineschach,Enate 2014 Rosado (Somontano),Rosado,Enate,Low
5301,France,"With just the right amount of wood aging, this is soft, rich and smooth. Tannins are already well integrated into the blackberry fruits, giving a wine that is fruity, juicy and good for medium-term aging. Drink from 2016.",,87,15.0,Bordeaux,Côtes de Bordeaux,,Roger Voss,@vossroger,Château de Terrefort Bibonne 2012  Côtes de Bordeaux,Bordeaux-style Red Blend,Château de Terrefort Bibonne,Low
5302,Austria,"Bright, fragrant, youthful and fruity, this is an attractive wine. Almost purple in color, it has soft tannins that add just a light touch of texture. Enjoy this wine now. Screwcap.",,86,15.0,Niederösterreich,,,Roger Voss,@vossroger,Pleil 2012 Zweigelt (Niederösterreich),Zweigelt,Pleil,Low
5303,France,"Manuel Olivier has an obvious interest in this lesser-known white grape. And with this wine— fresh, crisp, lively—he brings out all the green apple and bright, nervy acidity.",,87,15.0,Burgundy,Bourgogne Aligoté,,Roger Voss,@vossroger,Manuel Olivier 2010  Bourgogne Aligoté,Aligoté,Manuel Olivier,Low
5304,Italy,This informal white opens with whiffs of orchard fruit and citrus while the simple palate offers suggestions of pear and pineapple. A hint of bitter almond marks the rather lean abrupt finish.,Cà de' Rocchi,85,,Veneto,Soave,,Kerin O’Keefe,@kerinokeefe,Tinazzi 2015 Cà de' Rocchi  (Soave),Garganega,Tinazzi,Low
5305,Argentina,"Stalky, waxy aromas get this subpar varietal white going in the wrong direction. In the mouth, it's mushy, with creamy, briny, almost bitter flavors.",,81,15.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Bodega Carmine Granata 2010 Sémillon (Mendoza),Sémillon,Bodega Carmine Granata,Low
5306,Portugal,"Fresh and fruity, this is a crisply made, drink-it-now rosé. With freshly crushed raspberries and light acidity, it's perfect for an apéritif.",Tagus Creek,85,9.0,Tejo,,,Roger Voss,@vossroger,Falua 2013 Tagus Creek Rosé (Tejo),Rosé,Falua,Low
5307,US,"Aromatic and floral, this forward and fruity Pinot mixes spicy raspberry and strawberry fruit leading into a cherry cola core. That's where it remains through a quick fade. Good near-term drinking.",,86,20.0,Oregon,McMinnville,Willamette Valley,Paul Gregutt,@paulgwine ,Coeur de Terre 2008 Pinot Noir (McMinnville),Pinot Noir,Coeur de Terre,Low
5308,US,"Bright in aromas of pineapple, lemon and green apple, but also boasting sweet cream and yeastiness, this wine is layered on the nose. Zippy and fresh, with ample acidity and flavors of subdued lemon and pineapple, it's an easy wine to pair with dishes from halibut to a more robust pork chop.",,87,24.0,Virginia,Monticello,,Carrie Dykes,,Stinson 2014 Chardonnay (Monticello),Chardonnay,Stinson,Low
5309,US,"A thin Cabernet distinguished mostly by its earthy, farm-like aromas and not much else. A fairly generic red wine.",Family Vine,81,18.0,California,Lodi,Central Valley,Virginie Boone,@vboone,Herman Walters 2009 Family Vine Cabernet Sauvignon (Lodi),Cabernet Sauvignon,Herman Walters,Low
5310,US,"This is a medium-bodied Merlot, with dark fruit flavors that are cloaked in chewy, chalky, earthy and herbal tannins.",Proprietor's Reserve,86,25.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Maryhill 2010 Proprietor's Reserve Merlot (Columbia Valley (WA)),Merlot,Maryhill,Low
5311,Spain,"With dusty, candied aromas, the bouquet on this semisweet Cava is scattered all over the map. In the mouth, it's inoffensive, however the wine's candied, melony flavors are cloying and overtly sugary. This is too clumsy and candied to be taken seriously.",Demi Sec,80,14.0,Catalonia,Cava,,Michael Schachner,@wineschach,Paul Cheneau NV Demi Sec Sparkling (Cava),Sparkling Blend,Paul Cheneau,Low
5312,Chile,"The nose is sulphuric and a bit barnyardy, which screams“watch out,” but in the mouth there's acceptable if unspectacular apple fruit. It's scratchy in the finish, and probably just this side of not being worth drinking.",Estate,80,6.0,Maipo Valley,,,Michael Schachner,@wineschach,Santa Alicia 2001 Estate Chardonnay (Maipo Valley),Chardonnay,Santa Alicia,Low
5313,Italy,"The nose on this red is a bit shy but eventually reveals aromas suggesting moist underbrush, crushed berry and a whisper of violet. The simple light-bodied palate offers sour cherry, tart cranberry and a hint of orange peel. It's on the slender side, with firm acidity and loose-knit tannins.",,86,23.0,Tuscany,Rosso di Montalcino,,Kerin O’Keefe,@kerinokeefe,Val di Suga 2014  Rosso di Montalcino,Sangiovese,Val di Suga,Low
5314,New Zealand,"The bouquet here is confounding. It has some green vegetable and cat-pee qualities as well as white stone fruits, sulfur and popcorn. In a word, it's complicated. In the mouth, grapefruit and celery flavors mingle with green grapes, while on the back end it's chalky and rather tart. The overall acidity is high, and there's one important thing missing here: balance.",,87,17.0,Marlborough,,,,,Wairau River 2001 Sauvignon Blanc (Marlborough),Sauvignon Blanc,Wairau River,Low
5315,US,"The nose on this bottling is a bit reserved at first, with a touch of tar and beef char as well as black-cherry syrup. The acidity and tannins are there in judicious amounts on the palate, but the flavors remain a tad hidden, with just hints of blueberry and pepper poking out.",,87,55.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Hoyt Family Vineyards 2012 Petite Sirah (Paso Robles),Petite Sirah,Hoyt Family Vineyards,Low
5316,South Africa,Here's a lively and fruit-driven Pinotage with a hint of fudgy brownie adding depth to the forward black berry and cherry fruit. The palate is light and easygoing with low tannins and a short but clean finish. Drink up.,Bergkelder Selection,84,12.0,Coastal Region,,,Lauren Buzzeo,@laurbuzz,Fleur Du Cap 2009 Bergkelder Selection Pinotage (Coastal Region),Pinotage,Fleur Du Cap,Low
5317,France,"A fruity wine, just touched by some wood aging with attractive strawberry fruit flavors and acidity. It's not a wine for aging, its light minerality enhancing the fruitiness.",Le Renard,85,23.0,Burgundy,Bourgogne,,Roger Voss,@vossroger,Domaines Devillard 2011 Le Renard  (Bourgogne),Pinot Noir,Domaines Devillard,Low
5318,US,"Soft and fruity, this tastes like cherry candy, with a slight suggestion of burnt toast. It's smooth and pleasant, a good everyday pizza red.",Panorama,86,25.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Cloudlift Cellars 2010 Panorama Red (Columbia Valley (WA)),Red Blend,Cloudlift Cellars,Low
5319,US,"Shows plenty of varietal character. Spearmint, lemon and lime flavors, with a crisp, tart texture and a rich, spicy finish. Pleasant to drink and a good value. Best Buy.",,84,6.0,California,California,California Other,,,Woodbridge 2001 Sauvignon Blanc (California),Sauvignon Blanc,Woodbridge,Low
5320,US,"Big, rich and dense, this Pinot Noir shows massive, in-your-face flavors of oak, raspberry-cherry jam and chocolate. You can give this a few years of aging or try decanting, but it seems best enjoyed soon for its sheer youthful power.",Bien Nacido Vineyard,87,50.0,California,Santa Maria Valley,Central Coast,,,Flying Goat Cellars 2009 Bien Nacido Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Flying Goat Cellars,Low
5321,US,Strawberry and blackberry jam aromas are inflected with dried herb aromas of thyme and basil. The jammy palate has just enough structure from acid and tannin to keep it alive.,,85,20.0,Colorado,Grand Valley,,Alexander Peartree,,Grande River 2011 Malbec (Grand Valley),Malbec,Grande River,Low
5322,Italy,"Aromas of white flower, hazelnut and orchard fruit follow over to the savory palate along with mature pear, lime zest and smoke. A mineral note signals the finish.",,87,20.0,Southern Italy,Fiano di Avellino,,Kerin O’Keefe,@kerinokeefe,Agricola Bellaria 2015  Fiano di Avellino,Fiano,Agricola Bellaria,Low
5323,Chile,"Solid but flat aromas of olive and leafy berry fruits introduce a midland palate of moderate bounce and average body. Raspberry, plum, currant and herbal flavors finish fresh, but also woody and slightly bitter in taste.",Santa Digna,86,12.0,Central Valley,,,Michael Schachner,@wineschach,Miguel Torres 2012 Santa Digna Cabernet Sauvignon (Central Valley),Cabernet Sauvignon,Miguel Torres,Low
5324,US,"Marked by excessive oak, with toasty-sweet caramel flavors dominating the ripe blackberry and cherry pie flavors. Nice tannins, though. Drink now.",,84,45.0,California,Napa County,Napa,,,Cosentino 2005 Cabernet Sauvignon (Napa County),Cabernet Sauvignon,Cosentino,Low
5325,Italy,"This chewy wine has vanilla, mature black-skinned berry and clove scents. The palate doles out black cherry jam, marinated prune and licorice flavors, with a warm finish that suggests elevated alcohol. Drink through 2019.",Bricco Paradiso,87,30.0,Piedmont,Barbera d'Asti,,Kerin O’Keefe,@kerinokeefe,Il Falchetto 2015 Bricco Paradiso  (Barbera d'Asti),Barbera,Il Falchetto,Low
5326,Australia,"Barrel fermented in older oak, but this wine is still marked by oak and lees, with a slightly toasty, custardy edge to the melon and nectarine aromas and flavors. This medium-bodied Viognier then picks up hints of coffee and chocolate on the finish. Drink now.",The Last Ditch,86,25.0,South Australia,McLaren Vale-Adelaide Hills,,Joe Czerwinski,@JoeCz,D'Arenberg 2008 The Last Ditch Viognier (McLaren Vale-Adelaide Hills),Viognier,D'Arenberg,Low
5327,US,"Luscious grapefruit and lychee juxtapose earthier notes of saffron and fennel that extend from nose to finish. It's a dry, full-bodied Gewürztraminer with sunny acidity lending freshness to the midpalate. Drink now through 2019.",Lonesome Stony Estate Reserve,87,11.0,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Three Brothers 2016 Lonesome Stony Estate Reserve Gewürztraminer (Finger Lakes),Gewürztraminer,Three Brothers,Low
5328,France,"The typical Côtes de Gascogne blend of Colombard and Sauvignon Blanc, this is crisp, brightly herbaceous, hinting at peach as well as lime juice. It is fresh, clean and deliciously fruity.",,85,,Southwest France,Côtes de Gascogne,,Roger Voss,@vossroger,Rieutort 2012 Colombard-Sauvignon Blanc (Côtes de Gascogne),Colombard-Sauvignon Blanc,Rieutort,Low
5329,US,"Blended from Mendocino, Clarksburg (Delta) and Pope Valley fruit, this easy-drinking Cab is very ripe in blackberries and cherries, but also shows a good structure of tannins and acids. The alcohol is refreshingly low. A good price for a wine so satisfying.",,87,14.0,California,California,California Other,,,Heron 2011 Cabernet Sauvignon (California),Cabernet Sauvignon,Heron,Low
5330,US,"There's lemon curd and apple in this straightforward, light Chardonnay. Cradled in oak and vanilla, it is mid-weight in both texture and body, and a good value for the price.",,84,14.0,California,Sonoma County,Sonoma,Virginie Boone,@vboone,Sebastiani 2012 Chardonnay (Sonoma County),Chardonnay,Sebastiani,Low
5331,US,"From a boutique producer, this offers a soft, floral bouquet reminiscent of rose petals and face powder. That delicate entry belies a wine with grip and tannin, as well as some spicy, herbal toughness.",,87,16.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Terrapin Cellars 2011 Pinot Noir (Willamette Valley),Pinot Noir,Terrapin Cellars,Low
5332,Argentina,"This yellow-tinted Viognier shows ripe aromas of peach and melon. In the mouth, it's more sharp and zesty, albeit a touch oily. Flavors of briny citrus and green fruits end in a citrusy, tangy, racy finish that's acidic and lemony.",,86,18.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Lagarde 2012 Viognier (Mendoza),Viognier,Lagarde,Low
5333,Spain,"Initially this wine is flat and a bit chemical on the nose, but with time lime and tropical fruit aromas poke through. The mouthfeel is round but a little bland and broken up, while flavors of yeasty, bready tropical fruits and applesauce finish easy but flabby.",Selección Especial 1,87,18.0,Andalucia,Málaga,,Michael Schachner,@wineschach,Jorge Ordóñez & Co. 2012 Selección Especial 1 Moscatel (Málaga),Moscatel,Jorge Ordóñez & Co.,Low
5334,South Africa,"The regular cuvée from Glen Carlou is a weighty wine, spicy, with toffee and cream flavors and some attractive green fruit to give it a fresh aftertaste. While this is not as serious as the Reserve Chardonnay, it makes a delicious apèritif wine, that will pair well with light fish dishes.",,86,14.0,Paarl,,,Roger Voss,@vossroger,Glen Carlou 2000 Chardonnay (Paarl),Chardonnay,Glen Carlou,Low
5335,US,"Aged in stainless steel, this is lightly aromatic, with notes of nectarine and overripe apple. Labeled at 14.5% alcohol, it surprisingly never shows it. Rather the fruit concentration comes off as a bit wanting.",,84,15.0,Idaho,,,Sean P. Sullivan,@wawinereport,Fujishin 2011 Viognier,Viognier,Fujishin,Low
5336,US,"This is the most expensive of Coelho's three Pinot Gris offerings and also the least ripe. Bone-dry, sour and thin, it seems to improve when paired with fresh oysters.",Coelho Estates,85,23.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Coelho 2016 Coelho Estates Pinot Gris (Willamette Valley),Pinot Gris,Coelho,Low
5337,Austria,"Höpler's entry-level Grüner is fresh, green, structured with crisp apple skins—a delicious, apéritif-style wine. It offers all the fruitiness of the grape, a lively acidity adding to the pleasure. Screwcap.",,86,13.0,Burgenland,,,Roger Voss,@vossroger,Höpler 2007 Grüner Veltliner (Burgenland),Grüner Veltliner,Höpler,Low
5338,France,"There are attractive, herbal flavors in this wine. It has a fresh, fruity character that is bright and crisp. Lemon zest flavors cut through the warmer apricot and apple. It is an attractive wine that is ready to drink.",,87,15.0,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Château la Verrière 2015  Bordeaux Blanc,Bordeaux-style White Blend,Château la Verrière,Low
5339,US,"This wine is sourced from the Wood Vineyard along the appellation's Eastside Road, a relatively warm location that adds rich lemon chiffon and graham cracker to the whole. Creamy and velvety on the palate, it remains lush on the finish, tasting of baked peach pie.",,86,18.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Buehler 2015 Chardonnay (Russian River Valley),Chardonnay,Buehler,Low
5340,Chile,"Easygoing on the nose, with light melon and green-fruit aromas. Yet it's crisp in the mouth, but sort of choppy and tart as well. The wine is refreshing but short and linear, as if some of the pulp and power were siphoned off. What's left is fresh and lasting, but a little weak in flavor.",Winemaker's Selection,85,10.0,Rapel Valley,,,Michael Schachner,@wineschach,Yali 2008 Winemaker's Selection Sauvignon Blanc (Rapel Valley),Sauvignon Blanc,Yali,Low
5341,France,"Soft and rounded, this has caramel and strawberry flavors, but it misses some crispness.",Cuvée du Golfe de Saint-Tropez,83,,Provence,Côtes de Provence,,Roger Voss,@vossroger,Les Vignerons de Grimaud 2011 Cuvée du Golfe de Saint-Tropez Rosé (Côtes de Provence),Rosé,Les Vignerons de Grimaud,Low
5342,Austria,"A rich, pineapple-flavored wine with a touch of smoke and roasted almonds, very citrusy at the finish. It's crisp, perfumed and fresh. Screwcap.",,85,24.0,Niederösterreich,,,Roger Voss,@vossroger,H. & M. Hofer 2007 Riesling (Niederösterreich),Riesling,H. & M. Hofer,Low
5343,Argentina,"The nose conjures feral notes of skunk. A rich, syrupy palate tastes complicated and uneasy. Flavors of brown sugar and herbal black cherry are confusing, while the finish is herbal, earthy and green.",Allamand Altamira,83,25.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Luminis 2012 Allamand Altamira Malbec (Mendoza),Malbec,Luminis,Low
5344,Italy,"This is crystalline Vernaccia with bright aromas of pear, citrus and a touch of white peppercorn or natural rubber. It goes down in a fresh and clean manner and ends with a citrus crispness.",,86,24.0,Tuscany,Vernaccia di San Gimignano,,,,Vagnoni 2007  Vernaccia di San Gimignano,Vernaccia,Vagnoni,Low
5345,France,"This rosé boasts a pale flamingo-pink hue and slightly acrid aromas upon opening. But it settles down to present tart, cranberry-like fruit and ample weight allied to a taut, fresh mouthfeel.",Vignes du Prieuré,85,17.0,Rhône Valley,Côtes du Rhône,,Joe Czerwinski,@JoeCz,Château Gigognan 2012 Vignes du Prieuré Rosé (Côtes du Rhône),Rosé,Château Gigognan,Low
5346,Italy,"Made entirely with Sangiovese, the shy nose eventually reveals red berry and a hint of thyme. The straightforward easygoing palate delivers red cherry and clove alongside smooth tannins. Enjoy soon.",Dinostro,87,20.0,Tuscany,Toscana,,Kerin O’Keefe,@kerinokeefe,Podere Il Castellaccio 2015 Dinostro Sangiovese (Toscana),Sangiovese,Podere Il Castellaccio,Low
